smaple number = 1, Amplitude =1.054, Theta =0.006, Delta Theta =0.350, Frequency =0.972Hz 
smaple number = 2, Amplitude =1.021, Theta =0.374, Delta Theta =21.104, Frequency =58.621Hz 
smaple number = 3, Amplitude =1.129, Theta =0.540, Delta Theta =9.470, Frequency =26.305Hz 
smaple number = 4, Amplitude =1.025, Theta =0.831, Delta Theta =16.693, Frequency =46.369Hz 
smaple number = 5, Amplitude =1.040, Theta =1.176, Delta Theta =19.772, Frequency =54.922Hz 
smaple number = 6, Amplitude =1.038, Theta =1.611, Delta Theta =24.941, Frequency =69.280Hz 
smaple number = 7, Amplitude =1.048, Theta =1.828, Delta Theta =12.421, Frequency =34.503Hz 
smaple number = 8, Amplitude =1.038, Theta =2.265, Delta Theta =25.041, Frequency =69.559Hz 
smaple number = 9, Amplitude =1.001, Theta =2.525, Delta Theta =14.862, Frequency =41.284Hz 
smaple number = 10, Amplitude =1.042, Theta =2.833, Delta Theta =17.661, Frequency =49.057Hz 
smaple number = 11, Amplitude =0.953, Theta =-3.095, Delta Theta =20.340, Frequency =56.500Hz 
smaple number = 12, Amplitude =1.090, Theta =-2.913, Delta Theta =10.454, Frequency =29.039Hz 
smaple number = 13, Amplitude =1.071, Theta =-2.469, Delta Theta =25.422, Frequency =70.617Hz 
smaple number = 14, Amplitude =0.984, Theta =-2.232, Delta Theta =13.599, Frequency =37.774Hz 
smaple number = 15, Amplitude =1.036, Theta =-1.862, Delta Theta =21.197, Frequency =58.881Hz 
smaple number = 16, Amplitude =1.080, Theta =-1.576, Delta Theta =16.365, Frequency =45.457Hz 
smaple number = 17, Amplitude =1.016, Theta =-1.202, Delta Theta =21.418, Frequency =59.494Hz 
smaple number = 18, Amplitude =0.997, Theta =-1.014, Delta Theta =10.786, Frequency =29.961Hz 
smaple number = 19, Amplitude =1.070, Theta =-0.621, Delta Theta =22.544, Frequency =62.622Hz 
smaple number = 20, Amplitude =0.909, Theta =-0.360, Delta Theta =14.942, Frequency =41.506Hz 
smaple number = 21, Amplitude =1.099, Theta =0.004, Delta Theta =20.826, Frequency =57.849Hz 
smaple number = 22, Amplitude =0.928, Theta =0.412, Delta Theta =23.416, Frequency =65.043Hz 
smaple number = 23, Amplitude =0.912, Theta =0.637, Delta Theta =12.870, Frequency =35.750Hz 
smaple number = 24, Amplitude =1.007, Theta =0.990, Delta Theta =20.214, Frequency =56.149Hz 
smaple number = 25, Amplitude =1.043, Theta =1.298, Delta Theta =17.640, Frequency =48.999Hz 
smaple number = 26, Amplitude =0.830, Theta =1.550, Delta Theta =14.455, Frequency =40.154Hz 
smaple number = 27, Amplitude =1.145, Theta =1.870, Delta Theta =18.326, Frequency =50.906Hz 
smaple number = 28, Amplitude =0.919, Theta =2.214, Delta Theta =19.707, Frequency =54.742Hz 
smaple number = 29, Amplitude =0.989, Theta =2.518, Delta Theta =17.420, Frequency =48.389Hz 
smaple number = 30, Amplitude =1.015, Theta =2.952, Delta Theta =24.893, Frequency =69.147Hz 
smaple number = 31, Amplitude =1.019, Theta =-3.109, Delta Theta =12.721, Frequency =35.337Hz 
smaple number = 32, Amplitude =1.128, Theta =-2.914, Delta Theta =11.193, Frequency =31.090Hz 
smaple number = 33, Amplitude =1.023, Theta =-2.552, Delta Theta =20.712, Frequency =57.533Hz 
smaple number = 34, Amplitude =0.922, Theta =-2.231, Delta Theta =18.376, Frequency =51.045Hz 
smaple number = 35, Amplitude =0.964, Theta =-1.783, Delta Theta =25.674, Frequency =71.318Hz 
smaple number = 36, Amplitude =0.904, Theta =-1.447, Delta Theta =19.278, Frequency =53.549Hz 
smaple number = 37, Amplitude =1.001, Theta =-1.293, Delta Theta =8.824, Frequency =24.510Hz 
smaple number = 38, Amplitude =0.923, Theta =-0.932, Delta Theta =20.681, Frequency =57.448Hz 
smaple number = 39, Amplitude =1.041, Theta =-0.756, Delta Theta =10.054, Frequency =27.927Hz 
smaple number = 40, Amplitude =1.063, Theta =-0.455, Delta Theta =17.253, Frequency =47.926Hz 
smaple number = 41, Amplitude =1.003, Theta =0.000, Delta Theta =26.115, Frequency =72.541Hz 
smaple number = 42, Amplitude =0.923, Theta =0.323, Delta Theta =18.473, Frequency =51.315Hz 
