smaple number = 1, Amplitude =0.962, Theta =-0.017, Delta Theta =-0.982, Frequency =-2.728Hz 
smaple number = 2, Amplitude =1.008, Theta =0.414, Delta Theta =24.704, Frequency =68.622Hz 
smaple number = 3, Amplitude =0.892, Theta =0.734, Delta Theta =18.335, Frequency =50.932Hz 
smaple number = 4, Amplitude =0.985, Theta =1.106, Delta Theta =21.293, Frequency =59.148Hz 
smaple number = 5, Amplitude =1.071, Theta =1.432, Delta Theta =18.725, Frequency =52.015Hz 
smaple number = 6, Amplitude =0.839, Theta =1.683, Delta Theta =14.357, Frequency =39.880Hz 
smaple number = 7, Amplitude =1.140, Theta =2.086, Delta Theta =23.069, Frequency =64.080Hz 
smaple number = 8, Amplitude =1.037, Theta =2.441, Delta Theta =20.342, Frequency =56.506Hz 
smaple number = 9, Amplitude =0.930, Theta =2.587, Delta Theta =8.372, Frequency =23.257Hz 
smaple number = 10, Amplitude =1.069, Theta =3.106, Delta Theta =29.754, Frequency =82.650Hz 
smaple number = 11, Amplitude =0.963, Theta =-2.767, Delta Theta =23.472, Frequency =65.201Hz 
smaple number = 12, Amplitude =1.048, Theta =-2.507, Delta Theta =14.913, Frequency =41.426Hz 
smaple number = 13, Amplitude =1.027, Theta =-2.049, Delta Theta =26.262, Frequency =72.951Hz 
smaple number = 14, Amplitude =0.936, Theta =-1.940, Delta Theta =6.240, Frequency =17.333Hz 
smaple number = 15, Amplitude =1.113, Theta =-1.475, Delta Theta =26.630, Frequency =73.972Hz 
smaple number = 16, Amplitude =0.904, Theta =-1.143, Delta Theta =19.048, Frequency =52.910Hz 
smaple number = 17, Amplitude =1.002, Theta =-0.704, Delta Theta =25.137, Frequency =69.826Hz 
smaple number = 18, Amplitude =0.940, Theta =-0.400, Delta Theta =17.415, Frequency =48.376Hz 
smaple number = 19, Amplitude =0.923, Theta =-0.038, Delta Theta =20.737, Frequency =57.604Hz 
smaple number = 20, Amplitude =0.987, Theta =0.172, Delta Theta =12.012, Frequency =33.367Hz 
smaple number = 21, Amplitude =0.917, Theta =0.678, Delta Theta =28.994, Frequency =80.540Hz 
smaple number = 22, Amplitude =1.005, Theta =0.986, Delta Theta =17.647, Frequency =49.021Hz 
smaple number = 23, Amplitude =0.949, Theta =1.247, Delta Theta =14.988, Frequency =41.632Hz 
smaple number = 24, Amplitude =1.118, Theta =1.617, Delta Theta =21.153, Frequency =58.757Hz 
smaple number = 25, Amplitude =0.940, Theta =1.933, Delta Theta =18.123, Frequency =50.342Hz 
smaple number = 26, Amplitude =0.864, Theta =2.232, Delta Theta =17.137, Frequency =47.602Hz 
smaple number = 27, Amplitude =1.032, Theta =2.593, Delta Theta =20.661, Frequency =57.391Hz 
smaple number = 28, Amplitude =0.870, Theta =2.991, Delta Theta =22.808, Frequency =63.355Hz 
smaple number = 29, Amplitude =1.008, Theta =-2.893, Delta Theta =22.904, Frequency =63.621Hz 
smaple number = 30, Amplitude =0.901, Theta =-2.631, Delta Theta =15.017, Frequency =41.715Hz 
smaple number = 31, Amplitude =1.146, Theta =-2.221, Delta Theta =23.500, Frequency =65.277Hz 
smaple number = 32, Amplitude =1.116, Theta =-1.882, Delta Theta =19.391, Frequency =53.864Hz 
smaple number = 33, Amplitude =1.065, Theta =-1.479, Delta Theta =23.074, Frequency =64.094Hz 
smaple number = 34, Amplitude =0.984, Theta =-1.200, Delta Theta =16.032, Frequency =44.534Hz 
smaple number = 35, Amplitude =1.099, Theta =-0.889, Delta Theta =17.786, Frequency =49.407Hz 
smaple number = 36, Amplitude =1.034, Theta =-0.627, Delta Theta =15.024, Frequency =41.732Hz 
smaple number = 37, Amplitude =0.883, Theta =-0.138, Delta Theta =28.043, Frequency =77.896Hz 
smaple number = 38, Amplitude =1.063, Theta =0.095, Delta Theta =13.332, Frequency =37.034Hz 
smaple number = 39, Amplitude =1.029, Theta =0.545, Delta Theta =25.760, Frequency =71.556Hz 
smaple number = 40, Amplitude =0.939, Theta =0.939, Delta Theta =22.582, Frequency =62.727Hz 
smaple number = 41, Amplitude =1.060, Theta =1.185, Delta Theta =14.090, Frequency =39.139Hz 
smaple number = 42, Amplitude =0.965, Theta =1.568, Delta Theta =21.937, Frequency =60.936Hz 
smaple number = 43, Amplitude =0.970, Theta =2.025, Delta Theta =26.208, Frequency =72.801Hz 
smaple number = 44, Amplitude =1.064, Theta =2.253, Delta Theta =13.040, Frequency =36.223Hz 
smaple number = 45, Amplitude =0.916, Theta =2.619, Delta Theta =20.965, Frequency =58.237Hz 
smaple number = 46, Amplitude =0.974, Theta =2.859, Delta Theta =13.775, Frequency =38.265Hz 
smaple number = 47, Amplitude =1.012, Theta =-2.943, Delta Theta =27.555, Frequency =76.541Hz 
smaple number = 48, Amplitude =1.016, Theta =-2.581, Delta Theta =20.773, Frequency =57.703Hz 
smaple number = 49, Amplitude =0.952, Theta =-2.313, Delta Theta =15.338, Frequency =42.605Hz 
smaple number = 50, Amplitude =0.850, Theta =-1.994, Delta Theta =18.257, Frequency =50.715Hz 
smaple number = 51, Amplitude =1.083, Theta =-1.585, Delta Theta =23.435, Frequency =65.097Hz 
smaple number = 52, Amplitude =0.982, Theta =-1.188, Delta Theta =22.758, Frequency =63.216Hz 
smaple number = 53, Amplitude =0.937, Theta =-0.866, Delta Theta =18.457, Frequency =51.271Hz 
smaple number = 54, Amplitude =1.001, Theta =-0.441, Delta Theta =24.338, Frequency =67.606Hz 
smaple number = 55, Amplitude =1.060, Theta =-0.136, Delta Theta =17.467, Frequency =48.520Hz 
smaple number = 56, Amplitude =0.867, Theta =0.338, Delta Theta =27.174, Frequency =75.484Hz 
smaple number = 57, Amplitude =1.046, Theta =0.493, Delta Theta =8.862, Frequency =24.617Hz 
smaple number = 58, Amplitude =1.013, Theta =0.841, Delta Theta =19.977, Frequency =55.491Hz 
smaple number = 59, Amplitude =0.966, Theta =1.193, Delta Theta =20.150, Frequency =55.972Hz 
smaple number = 60, Amplitude =0.999, Theta =1.512, Delta Theta =18.300, Frequency =50.832Hz 
smaple number = 61, Amplitude =0.984, Theta =1.922, Delta Theta =23.473, Frequency =65.204Hz 
smaple number = 62, Amplitude =0.911, Theta =2.270, Delta Theta =19.930, Frequency =55.362Hz 
smaple number = 63, Amplitude =0.982, Theta =2.653, Delta Theta =21.939, Frequency =60.942Hz 
smaple number = 64, Amplitude =0.895, Theta =2.908, Delta Theta =14.645, Frequency =40.680Hz 
smaple number = 65, Amplitude =1.046, Theta =-3.095, Delta Theta =16.039, Frequency =44.551Hz 
smaple number = 66, Amplitude =1.025, Theta =-2.693, Delta Theta =23.029, Frequency =63.968Hz 
smaple number = 67, Amplitude =0.978, Theta =-2.315, Delta Theta =21.663, Frequency =60.176Hz 
smaple number = 68, Amplitude =0.928, Theta =-1.921, Delta Theta =22.551, Frequency =62.641Hz 
smaple number = 69, Amplitude =0.914, Theta =-1.621, Delta Theta =17.232, Frequency =47.867Hz 
smaple number = 70, Amplitude =1.049, Theta =-1.278, Delta Theta =19.599, Frequency =54.442Hz 
smaple number = 71, Amplitude =0.957, Theta =-0.892, Delta Theta =22.117, Frequency =61.436Hz 
smaple number = 72, Amplitude =1.048, Theta =-0.705, Delta Theta =10.766, Frequency =29.905Hz 
smaple number = 73, Amplitude =1.025, Theta =-0.186, Delta Theta =29.737, Frequency =82.602Hz 
smaple number = 74, Amplitude =0.925, Theta =0.066, Delta Theta =14.414, Frequency =40.039Hz 
smaple number = 75, Amplitude =1.146, Theta =0.349, Delta Theta =16.207, Frequency =45.019Hz 
smaple number = 76, Amplitude =1.092, Theta =0.804, Delta Theta =26.070, Frequency =72.416Hz 
smaple number = 77, Amplitude =0.959, Theta =1.128, Delta Theta =18.542, Frequency =51.505Hz 
smaple number = 78, Amplitude =1.034, Theta =1.531, Delta Theta =23.144, Frequency =64.289Hz 
smaple number = 79, Amplitude =1.031, Theta =1.938, Delta Theta =23.278, Frequency =64.661Hz 
smaple number = 80, Amplitude =1.011, Theta =2.163, Delta Theta =12.898, Frequency =35.827Hz 
smaple number = 81, Amplitude =0.952, Theta =2.653, Delta Theta =28.094, Frequency =78.040Hz 
smaple number = 82, Amplitude =1.098, Theta =2.952, Delta Theta =17.135, Frequency =47.598Hz 
smaple number = 83, Amplitude =1.103, Theta =-3.082, Delta Theta =14.278, Frequency =39.662Hz 
smaple number = 84, Amplitude =1.148, Theta =-2.741, Delta Theta =19.513, Frequency =54.202Hz 
